Transaction Number,Date,Quantity,Product,CommissionType,Value,Status,Total,SellerId
mtl-12784,2022-03-16 5:26,5,Smartphone,Gold,4,Pending,"$2,549.95",29952
mtl-12785,2022-11-10 12:36,4,Laptop,Silver,3,Paid,"$3,239.96",457
mtl-12786,2022-09-07 13:21,5,Wireless Printer,Gold,4,Processing,$375.00,29929
mtl-12787,2022-05-03 6:25,2,Wireless Home Network System,Bronze,2,Pending,$319.98,79
mtl-12788,2022-02-28 4:54,2,Cable Modem,Silver,3,Processing,$150.00,29646
mtl-12789,2022-10-17 16:32,4,Bluetooth Speaker,Gold,4,Processing,$239.96,30107
mtl-12790,2022-03-01 19:57,3,Wireless Home Entertainment System,Silver,3,Paid,"$1,229.97",30044
mtl-12791,2022-01-26 1:18,5,Wireless Home Security System,Bronze,2,Processing,"$1,299.95",581
mtl-12792,2022-02-03 7:30,1,Network Switch,Silver,3,Processing,$159.99,29744
mtl-12793,2022-07-15 8:13,2,Smart Home Hub,Silver,3,Processing,$219.98,408
mtl-12794,2022-01-14 3:57,5,Smartwatch,Bronze,2,Pending,"$1,049.95",394
mtl-12795,2023-03-10 8:45,5,Wireless Home Network System,Bronze,2,Pending,$799.95,30090
mtl-12796,2023-02-27 14:14,5,IP Camera,Gold,4,Pending,"$1,049.95",29758
mtl-12797,2022-04-24 11:31,3,Wireless Range Extender,Bronze,2,Paid,$225.00,239
mtl-12798,2022-05-20 18:13,3,Wireless Range Extender,Bronze,2,Pending,$225.00,29663
mtl-12799,2022-05-31 21:03,2,Smart Home Hub,Silver,3,Processing,$219.98,29683
mtl-12800,2022-12-25 21:21,2,Smart Home Camera,Bronze,2,Paid,$219.98,29668
mtl-12801,2023-02-05 6:58,4,Wireless Security System,Silver,3,Processing,$639.96,274
mtl-12802,2022-09-26 3:44,5,Wireless Game Controller,Gold,4,Pending,$299.95,643
mtl-12803,2023-04-04 18:34,1,Smart Home Door Lock,Silver,3,Processing,$159.99,29732
mtl-12804,2022-09-09 4:30,5,Desktop Computer,Silver,3,Pending,"$5,049.95",363
mtl-12805,2023-04-16 4:09,3,Smart Home Security System,Gold,4,Processing,"$1,529.97",552
mtl-12806,2022-08-11 19:43,3,Smart TV,Gold,4,Pending,"$1,529.97",307
mtl-12807,2023-03-30 21:20,4,Smart Home Lighting,Bronze,2,Pending,$300.00,484
mtl-12808,2022-11-17 17:09,4,Smart Home Sensor,Gold,4,Processing,$239.96,610
mtl-12809,2023-03-31 8:23,4,Satellite Radio,Bronze,2,Pending,$439.96,2
mtl-12810,2022-03-06 4:37,3,Wireless Charger,Silver,3,Paid,$75.00,39
mtl-12811,2022-10-14 17:38,3,Wireless Game Controller,Gold,4,Paid,$179.97,29813
mtl-12812,2022-09-17 23:20,5,Smart Home Lighting,Silver,3,Processing,$375.00,454
mtl-12813,2022-12-10 6:30,4,Satellite Radio,Silver,3,Pending,$439.96,253
mtl-12814,2022-07-15 12:42,1,Wireless Home Automation System,Silver,3,Pending,$509.99,28
mtl-12815,2023-02-17 3:25,1,GPS Navigation System,Gold,4,Processing,$209.99,29651
mtl-12816,2022-11-11 11:22,2,Wireless Home Surveillance System,Bronze,2,Paid,$619.98,29600
mtl-12817,2023-03-06 3:39,4,Wireless Home Entertainment System,Bronze,2,Paid,"$1,639.96",239
mtl-12818,2022-10-01 0:09,3,Wireless Home Surveillance System,Silver,3,Processing,$929.97,97
mtl-12819,2022-12-01 23:09,4,Smart Home Thermostat,Bronze,2,Paid,$839.96,30083
mtl-12820,2022-07-29 17:34,1,Smartphone,Bronze,2,Processing,$509.99,29524
mtl-12821,2022-05-17 11:56,5,Wireless Home Security System,Silver,3,Processing,"$1,299.95",29813
mtl-12822,2022-12-24 17:20,5,Wireless Speaker,Gold,4,Paid,$375.00,29623
mtl-12823,2022-11-03 2:12,4,Cable TV Box,Silver,3,Processing,$439.96,29929
mtl-12824,2023-03-26 15:39,3,Cable Modem,Silver,3,Processing,$225.00,695
mtl-12825,2023-02-05 4:31,5,Wireless Network Adapter,Silver,3,Processing,$299.95,644
mtl-12826,2022-04-08 0:26,5,Satellite Dish,Silver,3,Paid,$799.95,29944
mtl-12827,2023-02-10 9:03,3,Wireless Backup Drive,Silver,3,Paid,$479.97,29929
mtl-12828,2023-03-18 13:23,1,Network Switch,Gold,4,Paid,$159.99,235
mtl-12829,2023-04-26 17:54,4,Wireless Video Camera,Bronze,2,Paid,$439.96,257
mtl-12830,2022-05-25 6:22,4,Wireless Video Game Console,Bronze,2,Pending,"$1,239.96",327
mtl-12831,2022-11-07 6:19,1,Fiber Optic Modem,Silver,3,Processing,$159.99,516
mtl-12832,2023-03-03 22:35,1,Wireless Printer,Silver,3,Paid,$75.00,29699
mtl-12833,2023-02-13 11:30,4,Smart Home Hub,Gold,4,Processing,$439.96,29748
mtl-12834,2022-08-29 2:33,1,Smartwatch,Silver,3,Paid,$209.99,641
mtl-12835,2022-01-16 11:48,4,Satellite Dish,Bronze,2,Paid,$639.96,2
mtl-12836,2022-01-24 15:34,4,Wireless Speaker,Bronze,2,Paid,$300.00,29485
mtl-12837,2022-03-17 22:31,1,Wireless Mouse,Silver,3,Pending,$25.00,29668
mtl-12838,2023-01-08 18:10,4,Smart Home Appliance,Bronze,2,Pending,"$1,039.96",10
mtl-12839,2023-03-10 15:30,5,Wireless Charger,Gold,4,Pending,$125.00,29893
mtl-12840,2023-04-05 3:48,1,Satellite Phone,Bronze,2,Pending,$259.99,29780
mtl-12841,2023-01-01 19:32,5,Smart Home Camera,Bronze,2,Paid,$549.95,596
mtl-12842,2023-02-26 1:06,4,Smart Home Sensor,Gold,4,Processing,$239.96,30110
mtl-12843,2023-02-25 1:29,1,Wireless Router,Bronze,2,Processing,$59.99,7
mtl-12844,2023-04-06 20:13,5,Fiber Optic Modem,Bronze,2,Processing,$799.95,30050
mtl-12845,2023-01-01 23:03,1,Tablet,Gold,4,Paid,$309.99,29800
mtl-12846,2023-03-27 16:09,4,Smartphone,Gold,4,Processing,"$2,039.96",443
mtl-12847,2022-02-03 4:35,4,Smart Home Sensor,Bronze,2,Pending,$239.96,182
mtl-12848,2022-01-21 10:49,4,Modem,Silver,3,Processing,$300.00,29574
mtl-12849,2023-02-11 14:24,4,Wireless Mouse,Silver,3,Paid,$100.00,298
mtl-12850,2023-04-05 6:05,2,Wireless Mouse,Bronze,2,Processing,$50.00,30061
mtl-12851,2022-09-11 6:23,5,Satellite Radio,Bronze,2,Processing,$549.95,29750
mtl-12852,2023-04-21 2:12,3,Wireless Backup Drive,Silver,3,Paid,$479.97,425
mtl-12853,2022-12-30 11:18,4,Satellite Dish,Gold,4,Paid,$639.96,580
mtl-12854,2022-04-30 3:37,4,Wireless Storage Device,Silver,3,Processing,$839.96,150
mtl-12855,2023-01-08 13:36,5,Wireless Game Controller,Silver,3,Pending,$299.95,30083
mtl-12856,2022-03-14 5:29,2,Cell Phone,Bronze,2,Processing,$219.98,29635
mtl-12857,2023-01-13 13:30,3,Cell Phone,Bronze,2,Pending,$329.97,273
mtl-12858,2022-04-27 8:49,4,Wireless Video Streaming Device,Bronze,2,Paid,$300.00,29636
mtl-12859,2022-01-29 3:59,1,Wireless Home Surveillance System,Silver,3,Paid,$309.99,29800
mtl-12860,2022-08-15 16:52,2,Cell Phone,Gold,4,Paid,$219.98,470
mtl-12861,2022-06-07 2:06,2,GPS Navigation System,Silver,3,Paid,$419.98,29524
mtl-12862,2023-04-23 10:32,2,Wireless Keyboard,Bronze,2,Paid,$119.98,29601
mtl-12863,2022-10-07 11:31,4,Smart Home Camera,Gold,4,Processing,$439.96,29557
mtl-12864,2022-12-05 20:49,5,Satellite Radio,Bronze,2,Processing,$549.95,239
mtl-12865,2023-01-29 2:50,2,Wireless Keyboard,Silver,3,Pending,$119.98,29782
mtl-12866,2022-01-12 6:26,5,Wireless Video Doorbell,Bronze,2,Pending,$799.95,648
mtl-12867,2022-03-19 9:22,4,Smart Home Lighting,Bronze,2,Processing,$300.00,621
mtl-12868,2022-09-17 0:15,5,Wireless Router,Silver,3,Pending,$299.95,97
mtl-12869,2023-04-10 3:51,5,Bluetooth Speaker,Bronze,2,Paid,$299.95,29546
mtl-12870,2022-12-07 1:32,5,Cell Phone,Gold,4,Paid,$549.95,185
mtl-12871,2023-02-12 14:08,2,Smart Home Camera,Silver,3,Paid,$219.98,272
mtl-12872,2022-07-07 2:01,1,Wireless Video Game Console,Gold,4,Processing,$309.99,29982
mtl-12873,2022-01-04 14:32,2,Wireless Headphones,Gold,4,Paid,$150.00,380
mtl-12874,2022-03-02 19:22,1,VoIP Phone,Bronze,2,Paid,$159.99,29859
mtl-12875,2022-06-09 3:46,5,Wireless Speaker,Silver,3,Paid,$375.00,444
mtl-12876,2022-09-14 6:18,4,Smartphone,Bronze,2,Pending,"$2,039.96",253
mtl-12877,2023-02-22 17:59,4,Wireless Video Streaming Device,Silver,3,Processing,$300.00,484
mtl-12878,2022-08-16 10:00,3,Wireless Home Network System,Silver,3,Pending,$479.97,187
mtl-12879,2023-03-29 15:49,3,Wireless Keyboard,Silver,3,Pending,$179.97,29868
mtl-12880,2022-04-27 0:51,4,Modem,Gold,4,Pending,$300.00,29753
mtl-12881,2023-04-19 11:18,3,Wireless Speaker,Silver,3,Paid,$225.00,29857
mtl-12882,2022-12-25 3:02,1,Wireless Speaker,Silver,3,Pending,$75.00,250
mtl-12883,2022-09-30 2:45,2,Satellite Dish,Gold,4,Paid,$319.98,609
mtl-12884,2022-11-21 21:17,1,Cable Modem,Bronze,2,Pending,$75.00,701
mtl-12885,2022-01-02 5:05,5,Wireless Video Streaming Device,Silver,3,Paid,$375.00,29824
mtl-12886,2022-04-14 21:21,3,Laptop,Silver,3,Processing,"$2,429.97",30008
mtl-12887,2023-02-23 7:02,4,Smart Home Appliance,Silver,3,Processing,"$1,039.96",29885
mtl-12888,2023-03-10 12:53,4,Satellite Dish,Silver,3,Paid,$639.96,30094
mtl-12889,2022-08-06 12:19,1,Wireless Range Extender,Bronze,2,Processing,$75.00,29535
mtl-12890,2023-02-17 3:15,3,GPS Navigation System,Gold,4,Paid,$629.97,641
mtl-12891,2022-10-06 12:51,3,Tablet,Gold,4,Pending,$929.97,208
mtl-12892,2023-02-24 7:18,4,Wireless Home Surveillance System,Gold,4,Processing,"$1,239.96",528
mtl-12893,2022-09-01 19:51,3,Satellite Radio,Bronze,2,Processing,$329.97,38
mtl-12894,2022-07-06 20:36,5,Wireless Home Network System,Bronze,2,Paid,$799.95,470
mtl-12895,2022-01-08 15:05,4,Wireless Microphone,Gold,4,Paid,$239.96,29635
mtl-12896,2022-09-23 18:15,4,Smart Home Appliance,Gold,4,Pending,"$1,039.96",696
mtl-12897,2022-04-18 14:19,4,Smart TV,Bronze,2,Processing,"$2,039.96",29755
mtl-12898,2022-12-03 6:25,2,Cell Phone,Bronze,2,Pending,$219.98,456
mtl-12899,2022-02-27 5:30,2,Wireless Speaker,Bronze,2,Processing,$150.00,29973
mtl-12900,2022-02-27 9:12,1,GPS Navigation System,Gold,4,Processing,$209.99,30063
mtl-12901,2022-09-16 11:14,2,Smart Home Appliance,Bronze,2,Processing,$519.98,29781
mtl-12902,2022-09-15 4:19,2,Tablet,Bronze,2,Pending,$619.98,493
mtl-12903,2022-12-18 12:27,1,Wireless Security System,Silver,3,Pending,$159.99,507
mtl-12904,2022-07-21 3:47,5,Wireless Video Camera,Gold,4,Processing,$549.95,29910
mtl-12905,2022-12-03 21:36,1,Wireless Home Surveillance System,Silver,3,Pending,$309.99,29780
mtl-12906,2022-11-09 5:01,3,Streaming Media Player,Bronze,2,Processing,$225.00,29780
mtl-12907,2022-10-21 9:02,5,Smart Home Thermostat,Silver,3,Pending,"$1,049.95",29748
mtl-12908,2022-06-10 11:27,5,Wireless Home Entertainment System,Gold,4,Processing,"$2,049.95",29755
mtl-12909,2022-07-10 20:01,5,Smart Home Security System,Bronze,2,Pending,"$2,549.95",617
mtl-12910,2022-08-12 3:02,4,Desktop Computer,Bronze,2,Pending,"$4,039.96",493
mtl-12911,2022-06-10 2:42,2,Wireless Router,Gold,4,Paid,$119.98,545
mtl-12912,2023-03-19 11:52,3,Smartwatch,Bronze,2,Processing,$629.97,29577
mtl-12913,2022-12-18 21:38,3,Antenna,Bronze,2,Paid,$179.97,259
mtl-12914,2022-03-20 23:08,1,Wireless Home Entertainment System,Bronze,2,Processing,$409.99,29944
mtl-12915,2022-07-26 2:18,1,Wireless Home Network System,Bronze,2,Paid,$159.99,29941
mtl-12916,2022-10-16 20:24,4,Smart Home Camera,Bronze,2,Processing,$439.96,29510
mtl-12917,2023-04-12 18:29,2,Wireless Microphone,Gold,4,Processing,$119.98,29822
mtl-12918,2023-03-18 15:41,1,DSL Modem,Bronze,2,Paid,$75.00,29653
mtl-12919,2022-11-20 1:34,1,Smart Home Appliance,Silver,3,Pending,$259.99,29559
mtl-12920,2023-04-13 23:22,4,Modem,Silver,3,Processing,$300.00,29859
mtl-12921,2022-07-11 20:31,1,Cable Modem,Bronze,2,Paid,$75.00,29975
mtl-12922,2022-12-27 14:48,3,Wireless Range Extender,Silver,3,Paid,$225.00,29879
mtl-12923,2023-02-16 21:05,1,Wireless Keyboard,Bronze,2,Pending,$59.99,697
mtl-12924,2022-10-14 18:16,3,Network Switch,Silver,3,Pending,$479.97,502
mtl-12925,2022-02-16 21:27,2,Wireless Home Security System,Gold,4,Pending,$519.98,30105
mtl-12926,2022-03-25 11:39,2,Antenna,Bronze,2,Pending,$119.98,674
mtl-12927,2022-04-15 6:40,1,Wireless Speaker,Bronze,2,Paid,$75.00,695
mtl-12928,2022-06-27 15:06,1,Wireless Home Automation System,Silver,3,Paid,$509.99,29806
mtl-12929,2022-04-20 19:39,4,Laptop,Bronze,2,Pending,"$3,239.96",29988
mtl-12930,2022-06-25 7:15,5,VoIP Phone,Silver,3,Pending,$799.95,288
mtl-12931,2022-11-30 17:19,1,Wireless Video Game Console,Silver,3,Processing,$309.99,478
mtl-12932,2022-04-23 18:37,5,DSL Modem,Silver,3,Processing,$375.00,29860
mtl-12933,2023-01-20 4:38,4,Wireless Video Game Console,Silver,3,Processing,"$1,239.96",29789
mtl-12934,2022-02-07 16:19,4,Wireless Access Point,Silver,3,Pending,$300.00,29764
mtl-12935,2022-06-01 16:15,5,Cable TV Box,Silver,3,Paid,$549.95,679
mtl-12936,2023-02-10 21:46,4,Smart Home Door Lock,Silver,3,Processing,$639.96,466
mtl-12937,2023-04-14 16:57,1,Wireless Microphone,Bronze,2,Processing,$59.99,30118
mtl-12938,2022-04-17 10:41,2,Wireless Keyboard,Silver,3,Paid,$119.98,644
mtl-12939,2022-04-30 15:06,5,Smart Home Door Lock,Gold,4,Pending,$799.95,29843
mtl-12940,2022-01-20 3:22,1,Wireless Home Network System,Gold,4,Paid,$159.99,569
mtl-12941,2022-06-20 15:30,1,Smart Home Door Lock,Bronze,2,Processing,$159.99,259
mtl-12942,2022-07-07 5:01,2,Smart Home Camera,Gold,4,Processing,$219.98,29636
mtl-12943,2022-03-15 8:04,5,Satellite Dish,Bronze,2,Pending,$799.95,298
mtl-12944,2022-10-09 18:23,4,Wireless Storage Device,Gold,4,Processing,$839.96,307
mtl-12945,2022-06-09 16:11,4,Network Switch,Bronze,2,Processing,$639.96,29601
mtl-12946,2022-04-08 4:47,5,Smart Home Lighting,Silver,3,Paid,$375.00,29789
mtl-12947,2022-12-19 22:34,1,Laptop,Silver,3,Pending,$809.99,29782
mtl-12948,2022-01-13 23:02,4,Wireless Video Camera,Bronze,2,Paid,$439.96,238
mtl-12949,2023-01-17 9:25,2,Antenna,Bronze,2,Pending,$119.98,257
mtl-12950,2022-09-17 0:54,1,IP Camera,Silver,3,Pending,$209.99,394
mtl-12951,2022-03-07 17:44,1,Smartwatch,Gold,4,Pending,$209.99,91
mtl-12952,2022-11-19 6:51,4,Wireless Video Camera,Bronze,2,Processing,$439.96,366
mtl-12953,2022-04-26 12:19,1,Smart Home Security System,Gold,4,Pending,$509.99,38
mtl-12954,2022-11-08 3:21,1,Bluetooth Speaker,Gold,4,Processing,$59.99,30104
mtl-12955,2022-09-29 2:08,3,Desktop Computer,Silver,3,Paid,"$3,029.97",239
mtl-12956,2023-02-10 6:01,3,Smart Home Sensor,Gold,4,Paid,$179.97,493
mtl-12957,2022-04-24 6:28,1,Wireless Video Camera,Bronze,2,Pending,$109.99,418
mtl-12958,2022-09-26 12:29,1,Laptop,Silver,3,Processing,$809.99,288
mtl-12959,2022-12-22 1:04,1,Bluetooth Speaker,Bronze,2,Paid,$59.99,165
mtl-12960,2023-02-13 23:32,2,Satellite Radio,Gold,4,Paid,$219.98,583
mtl-12961,2022-06-25 23:07,2,Wireless Home Network System,Silver,3,Pending,$319.98,29502
mtl-12962,2022-07-07 7:47,4,Laptop,Gold,4,Paid,"$3,239.96",29988
mtl-12963,2022-02-17 20:03,4,Wireless Home Surveillance System,Bronze,2,Processing,"$1,239.96",250
mtl-12964,2022-02-16 2:33,1,Smart Home Thermostat,Gold,4,Paid,$209.99,29885
mtl-12965,2022-04-19 2:09,4,Wireless Network Adapter,Silver,3,Paid,$239.96,274
mtl-12966,2022-08-31 10:08,4,Cable TV Box,Silver,3,Paid,$439.96,29605
mtl-12967,2023-02-28 21:02,4,Wireless Mouse,Gold,4,Paid,$100.00,516
mtl-12968,2023-03-14 21:43,1,Wireless Video Game Console,Silver,3,Processing,$309.99,454
mtl-12969,2022-07-26 0:52,3,GPS Navigation System,Bronze,2,Paid,$629.97,649
mtl-12970,2022-05-31 4:35,3,Smartwatch,Silver,3,Processing,$629.97,131
mtl-12971,2022-08-17 9:44,1,Wireless Video Game Console,Gold,4,Processing,$309.99,244
mtl-12972,2022-01-09 3:17,2,Wireless Home Security System,Bronze,2,Processing,$519.98,545
mtl-12973,2022-12-02 1:45,2,Wireless Backup Drive,Bronze,2,Processing,$319.98,258
mtl-12974,2022-11-26 11:26,3,Smart Home Camera,Bronze,2,Paid,$329.97,418
mtl-12975,2022-05-11 11:27,2,Wireless Speaker,Gold,4,Pending,$150.00,516
mtl-12976,2022-05-14 3:16,2,Smartwatch,Silver,3,Processing,$419.98,238
mtl-12977,2022-12-10 7:58,5,Tablet,Gold,4,Pending,"$1,549.95",30044
mtl-12978,2022-02-22 4:53,4,Smart Home Security System,Bronze,2,Pending,"$2,039.96",697
mtl-12979,2022-05-28 22:43,2,GPS Navigation System,Gold,4,Pending,$419.98,346
mtl-12980,2022-10-15 7:18,1,Wireless Video Doorbell,Gold,4,Pending,$159.99,186
mtl-12981,2023-03-21 4:56,2,Wireless Router,Silver,3,Processing,$119.98,679
mtl-12982,2022-03-29 21:27,2,Antenna,Bronze,2,Pending,$119.98,29583
mtl-12983,2023-01-25 11:28,3,Satellite Dish,Silver,3,Pending,$479.97,29824
mtl-12984,2023-04-12 6:17,3,Satellite Dish,Gold,4,Paid,$479.97,29962
mtl-12985,2022-10-26 7:23,4,Wireless Range Extender,Bronze,2,Pending,$300.00,346
mtl-12986,2022-03-01 19:11,5,Smart Home Door Lock,Bronze,2,Pending,$799.95,148
mtl-12987,2022-06-03 2:33,2,Network Switch,Gold,4,Processing,$319.98,29867
mtl-12988,2023-02-07 15:44,1,Wireless Network Adapter,Gold,4,Paid,$59.99,29962
mtl-12989,2023-04-09 19:17,1,Wireless Printer,Bronze,2,Paid,$75.00,244
mtl-12990,2023-03-02 17:05,2,Streaming Media Player,Silver,3,Pending,$150.00,259
mtl-12991,2022-01-13 3:59,2,Cable TV Box,Bronze,2,Paid,$219.98,560
mtl-12992,2022-11-29 14:13,4,Wireless Network Adapter,Bronze,2,Pending,$239.96,701
mtl-12993,2022-08-12 12:35,2,Wireless Storage Device,Bronze,2,Processing,$419.98,238
mtl-12994,2022-04-05 17:04,1,Wireless Keyboard,Silver,3,Processing,$59.99,349
mtl-12995,2022-03-17 21:04,1,Wireless Microphone,Bronze,2,Paid,$59.99,328
mtl-12996,2022-05-14 2:16,4,Wireless Storage Device,Bronze,2,Pending,$839.96,29857
mtl-12997,2022-10-26 1:11,1,Smart Home Hub,Gold,4,Processing,$109.99,29600
mtl-12998,2022-08-17 16:08,3,Wireless Range Extender,Silver,3,Processing,$225.00,29525
mtl-12999,2022-10-16 8:26,4,Wireless Audio Receiver,Gold,4,Pending,$300.00,648
mtl-13000,2022-09-13 9:30,4,GPS Navigation System,Silver,3,Pending,$839.96,257
mtl-13001,2022-08-29 4:06,5,Smart Home Hub,Silver,3,Pending,$549.95,29750
mtl-13002,2022-06-05 23:15,2,Wireless Home Security System,Gold,4,Pending,$519.98,674
mtl-13003,2023-04-15 19:25,5,Satellite Phone,Silver,3,Pending,"$1,299.95",516
mtl-13004,2022-09-29 23:02,3,Wireless Video Camera,Bronze,2,Processing,$329.97,362
mtl-13005,2022-06-26 1:39,3,Wireless Range Extender,Bronze,2,Processing,$225.00,29908
mtl-13006,2022-08-19 3:52,5,Satellite Dish,Silver,3,Pending,$799.95,457
mtl-13007,2022-11-17 23:37,5,Wireless Access Point,Silver,3,Paid,$375.00,569
mtl-13008,2023-02-24 9:24,5,Cell Phone,Bronze,2,Paid,$549.95,552
mtl-13009,2023-01-04 15:36,4,Wireless Home Entertainment System,Bronze,2,Processing,"$1,639.96",61
mtl-13010,2022-10-23 21:25,5,Bluetooth Speaker,Silver,3,Paid,$299.95,277
mtl-13011,2022-01-06 9:47,4,Wireless Backup Drive,Gold,4,Pending,$639.96,16
mtl-13012,2023-04-29 19:54,5,Wireless Video Streaming Device,Silver,3,Processing,$375.00,394
mtl-13013,2023-02-04 19:19,1,IP Camera,Bronze,2,Processing,$209.99,504
mtl-13014,2022-06-14 7:23,4,Wireless Keyboard,Gold,4,Processing,$239.96,466
mtl-13015,2022-06-17 5:16,4,Wireless Video Streaming Device,Silver,3,Pending,$300.00,29944
mtl-13016,2022-09-22 8:33,1,DSL Modem,Gold,4,Processing,$75.00,29901
mtl-13017,2022-09-16 8:50,5,Smart Home Sensor,Silver,3,Pending,$299.95,30105
mtl-13018,2022-12-03 3:05,1,Desktop Computer,Bronze,2,Processing,"$1,009.99",29975
mtl-13019,2022-02-20 9:09,3,Wireless Home Surveillance System,Silver,3,Paid,$929.97,147
mtl-13020,2022-04-28 16:57,3,Wireless Range Extender,Bronze,2,Paid,$225.00,29908
mtl-13021,2022-01-27 23:21,2,Wireless Mouse,Bronze,2,Processing,$50.00,426
mtl-13022,2022-05-25 1:02,4,Smart Home Door Lock,Gold,4,Pending,$639.96,201
mtl-13023,2022-01-23 15:12,5,Wireless Video Game Console,Gold,4,Pending,"$1,549.95",11
mtl-13024,2022-03-30 16:49,5,Smart Home Security System,Gold,4,Processing,"$2,549.95",29872
mtl-13025,2023-03-12 19:14,1,Wireless Home Surveillance System,Bronze,2,Paid,$309.99,394
mtl-13026,2023-04-19 13:13,5,Desktop Computer,Gold,4,Paid,"$5,049.95",674
mtl-13027,2023-02-04 20:05,4,Smart Home Camera,Bronze,2,Paid,$439.96,29879
mtl-13028,2022-02-05 15:18,5,Smart Home Security System,Bronze,2,Pending,"$2,549.95",29921
mtl-13029,2023-04-28 5:55,1,DSL Modem,Bronze,2,Paid,$75.00,29521
mtl-13030,2022-09-21 21:23,4,Wireless Microphone,Gold,4,Pending,$239.96,30080
mtl-13031,2022-12-13 9:16,2,Wireless Video Streaming Device,Silver,3,Processing,$150.00,30047
mtl-13032,2022-05-04 15:27,5,Modem,Bronze,2,Pending,$375.00,30107
mtl-13033,2022-02-19 12:42,1,Satellite Radio,Silver,3,Pending,$109.99,471
mtl-13034,2022-12-11 2:27,1,Smart Home Hub,Gold,4,Pending,$109.99,621
mtl-13035,2022-08-18 13:48,5,Wireless Router,Silver,3,Pending,$299.95,29872
mtl-13036,2023-03-08 18:18,4,Laptop,Gold,4,Paid,"$3,239.96",461
mtl-13037,2022-08-16 8:57,1,Modem,Bronze,2,Paid,$75.00,291
mtl-13038,2023-01-01 2:08,5,Wireless Range Extender,Gold,4,Processing,$375.00,29536
mtl-13039,2023-01-17 0:03,4,Wireless Video Doorbell,Gold,4,Pending,$639.96,543
mtl-13040,2022-07-24 11:12,1,Smart Home Sensor,Bronze,2,Pending,$59.99,516
mtl-13041,2023-04-07 12:34,4,DSL Modem,Silver,3,Paid,$300.00,437
mtl-13042,2022-07-07 19:34,4,Wireless Security System,Gold,4,Processing,$639.96,29546
mtl-13043,2023-01-02 6:55,3,Wireless Home Entertainment System,Silver,3,Processing,"$1,229.97",596
mtl-13044,2022-01-19 21:27,1,Wireless Video Doorbell,Silver,3,Pending,$159.99,91
mtl-13045,2022-12-19 9:44,5,Wireless Game Controller,Gold,4,Pending,$299.95,29544
mtl-13046,2022-12-15 15:40,3,Smart Home Door Lock,Gold,4,Pending,$479.97,29952
mtl-13047,2022-07-09 7:44,1,Wireless Video Doorbell,Gold,4,Processing,$159.99,30008
mtl-13048,2022-09-06 9:57,3,Smart Home Door Lock,Bronze,2,Pending,$479.97,543
mtl-13049,2022-09-18 2:46,5,Wireless Storage Device,Bronze,2,Pending,"$1,049.95",29924
mtl-13050,2022-04-23 12:25,4,VoIP Phone,Gold,4,Pending,$639.96,29967
mtl-13051,2022-04-30 20:24,2,Wireless Keyboard,Gold,4,Paid,$119.98,61
mtl-13052,2022-10-15 20:52,5,Satellite Dish,Bronze,2,Paid,$799.95,426
mtl-13053,2022-05-26 1:39,5,Wireless Range Extender,Silver,3,Pending,$375.00,280
mtl-13054,2023-01-29 7:45,3,Satellite Dish,Silver,3,Paid,$479.97,649
mtl-13055,2022-07-18 2:29,3,Satellite Dish,Bronze,2,Pending,$479.97,29601
mtl-13056,2023-02-16 7:03,5,Smart Home Camera,Silver,3,Pending,$549.95,434
mtl-13057,2022-11-14 17:17,3,Smart Home Sensor,Gold,4,Pending,$179.97,112
mtl-13058,2022-04-10 19:58,1,Wireless Video Game Console,Bronze,2,Paid,$309.99,29750
mtl-13059,2023-02-25 5:20,4,Satellite Radio,Silver,3,Processing,$439.96,489
mtl-13060,2022-11-26 15:54,4,Wireless Game Controller,Gold,4,Paid,$239.96,29659
mtl-13061,2022-10-19 17:50,1,Wireless Headphones,Bronze,2,Pending,$75.00,298
mtl-13062,2023-02-13 10:29,3,Wireless Network Adapter,Gold,4,Paid,$179.97,30037
mtl-13063,2022-12-23 21:22,3,Wireless Router,Silver,3,Paid,$179.97,29929
mtl-13064,2022-11-13 3:17,1,Satellite Phone,Gold,4,Paid,$259.99,418
mtl-13065,2022-02-25 19:30,2,Wireless Network Adapter,Silver,3,Pending,$119.98,644
mtl-13066,2022-03-30 0:21,4,Smart Home Hub,Silver,3,Processing,$439.96,30090
mtl-13067,2022-09-21 22:03,1,Wireless Video Streaming Device,Silver,3,Pending,$75.00,272
mtl-13068,2022-08-26 11:50,4,Wireless Mouse,Bronze,2,Processing,$100.00,25
mtl-13069,2022-04-22 16:26,5,Wireless Home Entertainment System,Silver,3,Paid,"$2,049.95",29525
mtl-13070,2022-04-29 18:25,3,Wireless Video Streaming Device,Bronze,2,Processing,$225.00,30042
mtl-13071,2022-08-03 12:44,5,Wireless Router,Gold,4,Processing,$299.95,697
mtl-13072,2022-09-29 4:33,5,Smartphone,Silver,3,Pending,"$2,549.95",29988
mtl-13073,2022-07-21 6:05,3,Wireless Home Network System,Gold,4,Pending,$479.97,57
mtl-13074,2022-04-05 23:34,5,Wireless Video Game Console,Bronze,2,Pending,"$1,549.95",307
mtl-13075,2023-03-15 7:49,2,Wireless Range Extender,Bronze,2,Processing,$150.00,185
mtl-13076,2023-03-25 4:47,1,Wireless Storage Device,Gold,4,Processing,$209.99,29502
mtl-13077,2022-03-18 23:16,5,Smart Home Appliance,Gold,4,Pending,"$1,299.95",220
